 -0.157079630E+02 -0.418255723E-07  0.707385736E-02
  0.177499988E+04  0.529326485E-07  0.933573116E-02
  0.179070776E+04  0.544842322E-07  0.938916672E-02
  0.180641577E+04  0.565089273E-07  0.944369659E-02
  0.182212366E+04  0.581331534E-07  0.949935336E-02
  0.183783167E+04  0.599510983E-07  0.955616683E-02
  0.185353955E+04  0.615678744E-07  0.961416680E-02
  0.186924756E+04  0.656694183E-07  0.967338309E-02
  0.188495544E+04  0.684708326E-07  0.973384641E-02
  0.190066357E+04  0.717192918E-07  0.979559217E-02
  0.191637158E+04  0.738650527E-07  0.985865854E-02
  0.193207947E+04  0.776424969E-07  0.992307533E-02
  0.194778748E+04  0.814944485E-07  0.998888724E-02
  0.196349536E+04  0.850521005E-07  0.100561278E-01
  0.197920337E+04  0.912100049E-07  0.101248408E-01
  0.199491125E+04  0.960677866E-07  0.101950672E-01
  0.201061926E+04  0.102400783E-06  0.102668535E-01
  0.202632715E+04  0.108141450E-06  0.103402426E-01
  0.204203516E+04  0.114046038E-06  0.104152849E-01
  0.205774316E+04  0.120691951E-06  0.104920296E-01
  0.207345093E+04  0.130459668E-06  0.105705298E-01
  0.208915894E+04  0.139046463E-06  0.106508387E-01
  0.210486719E+04  0.150114303E-06  0.107330121E-01
  0.212057520E+04  0.162016605E-06  0.108171115E-01
  0.213628296E+04  0.174157321E-06  0.109031983E-01
  0.215199097E+04  0.188928098E-06  0.109913358E-01
  0.216769897E+04  0.205770135E-06  0.110815940E-01
  0.218340698E+04  0.222012403E-06  0.111740436E-01
  0.219911475E+04  0.241938977E-06  0.112687554E-01
  0.221482275E+04  0.263620166E-06  0.113658123E-01
  0.223053076E+04  0.288899997E-06  0.114652896E-01
  0.224623877E+04  0.318374475E-06  0.115672778E-01
  0.226194653E+04  0.348161905E-06  0.116718654E-01
  0.227765454E+04  0.384088594E-06  0.117791453E-01
  0.229336255E+04  0.423692171E-06  0.118892211E-01
  0.230907056E+04  0.467102979E-06  0.120021878E-01
  0.232477856E+04  0.515174122E-06  0.121181644E-01
  0.234048657E+04  0.570762893E-06  0.122372610E-01
  0.235619458E+04  0.634260459E-06  0.123596005E-01
  0.237190234E+04  0.706471496E-06  0.124853095E-01
  0.238761035E+04  0.785261420E-06  0.126145231E-01
  0.240331836E+04  0.874657189E-06  0.127473911E-01
  0.241902637E+04  0.978309686E-06  0.128840562E-01
  0.243473413E+04  0.109453867E-05  0.130246812E-01
  0.245044214E+04  0.122534482E-05  0.131694376E-01
  0.246615015E+04  0.137276947E-05  0.133184996E-01
  0.248185815E+04  0.154812631E-05  0.134720616E-01
  0.249756616E+04  0.173939759E-05  0.136303231E-01
  0.251327417E+04  0.196085125E-05  0.137935048E-01
  0.252898218E+04  0.221541518E-05  0.139618283E-01
  0.254468994E+04  0.250384210E-05  0.141355423E-01
  0.256039795E+04  0.283606346E-05  0.143149067E-01
  0.257610596E+04  0.321502239E-05  0.145001924E-01
  0.259181396E+04  0.365245342E-05  0.146917067E-01
  0.260752173E+04  0.415497288E-05  0.148897618E-01
  0.262322974E+04  0.473574528E-05  0.150946984E-01
  0.263893774E+04  0.540898009E-05  0.153068816E-01
  0.265464575E+04  0.618007789E-05  0.155267091E-01
  0.267035376E+04  0.708567359E-05  0.157546047E-01
  0.268606152E+04  0.813183215E-05  0.159910247E-01
  0.270176978E+04  0.935015123E-05  0.162364524E-01
