  0.139800867E+04  0.467071550E-05  0.715039088E-03
  0.140115027E+04  0.491695391E-05  0.721883669E-03
  0.140429187E+04  0.517835633E-05  0.728879531E-03
  0.140743347E+04  0.545597095E-05  0.736031448E-03
  0.141057507E+04  0.575094236E-05  0.743345066E-03
  0.141371667E+04  0.606470121E-05  0.750825275E-03
  0.141685828E+04  0.639820109E-05  0.758478185E-03
  0.141999988E+04  0.675306319E-05  0.766309735E-03
  0.142314136E+04  0.713109966E-05  0.774325919E-03
  0.142628308E+04  0.753326412E-05  0.782533723E-03
  0.142942456E+04  0.796222685E-05  0.790939783E-03
  0.143256628E+04  0.841951351E-05  0.799551082E-03
  0.143570776E+04  0.890722276E-05  0.808375189E-03
  0.143884949E+04  0.942792849E-05  0.817420019E-03
  0.144199097E+04  0.998353971E-05  0.826693722E-03
  0.144513257E+04  0.105776789E-04  0.836204796E-03
  0.144827417E+04  0.112126354E-04  0.845962903E-03
  0.145141577E+04  0.118912221E-04  0.855976192E-03
  0.145455737E+04  0.126178738E-04  0.866255781E-03
  0.145769897E+04  0.133956910E-04  0.876811391E-03
  0.146084058E+04  0.142288209E-04  0.887654198E-03
  0.146398218E+04  0.151215072E-04  0.898795319E-03
  0.146712378E+04  0.160792351E-04  0.910247210E-03
  0.147026538E+04  0.171066276E-04  0.922022446E-03
  0.147340686E+04  0.182095046E-04  0.934133539E-03
  0.147654858E+04  0.193941123E-04  0.946594810E-03
  0.147969006E+04  0.206671230E-04  0.959421159E-03
  0.148283179E+04  0.220360034E-04  0.972627429E-03
  0.148597327E+04  0.235087864E-04  0.986229745E-03
  0.148911499E+04  0.250938901E-04  0.100024533E-02
  0.149225647E+04  0.268015865E-04  0.101469154E-02
  0.149539807E+04  0.286415579E-04  0.102958723E-02
  0.149853967E+04  0.306253896E-04  0.104495196E-02
  0.150168127E+04  0.327657217E-04  0.106080621E-02
  0.150482288E+04  0.350760092E-04  0.107717130E-02
  0.150796448E+04  0.375710260E-04  0.109407085E-02
  0.151110608E+04  0.402670848E-04  0.111152756E-02
  0.151424768E+04  0.431819899E-04  0.112956716E-02
  0.151738916E+04  0.463351025E-04  0.114821550E-02
  0.152053088E+04  0.497479668E-04  0.116750016E-02
  0.152367236E+04  0.534438623E-04  0.118744979E-02
  0.152681409E+04  0.574481383E-04  0.120809500E-02
  0.152995557E+04  0.617889891E-04  0.122946699E-02
  0.153309729E+04  0.664970139E-04  0.125159859E-02
  0.153623877E+04  0.716061695E-04  0.127452449E-02
  0.153938037E+04  0.771532650E-04  0.129828055E-02
  0.154252197E+04  0.831787402E-04  0.132290414E-02
  0.154566357E+04  0.897271239E-04  0.134843402E-02
  0.154880518E+04  0.968472814E-04  0.137491070E-02
  0.155194678E+04  0.104592655E-03  0.140237587E-02
  0.155508838E+04  0.113022521E-03  0.143087248E-02
  0.155822998E+04  0.122200770E-03  0.146044535E-02
  0.156137146E+04  0.132198722E-03  0.149113941E-02
  0.156451318E+04  0.143094032E-03  0.152300159E-02
  0.156765466E+04  0.154972120E-03  0.155607855E-02
  0.157079639E+04  0.167926861E-03  0.159041863E-02
  0.157393787E+04  0.182060932E-03  0.162606931E-02
  0.157707947E+04  0.197487519E-03  0.166307774E-02
  0.158022119E+04  0.214330124E-03  0.170149084E-02
  0.158336267E+04  0.232724793E-03  0.174135400E-02
  0.158650427E+04  0.252820289E-03  0.178270950E-02
  0.158964587E+04  0.274779450E-03  0.182559772E-02
  0.159278735E+04  0.298781117E-03  0.187005347E-02
  0.159592908E+04  0.325020228E-03  0.191610621E-02
  0.159907068E+04  0.353710173E-03  0.196377910E-02
  0.160221228E+04  0.385083666E-03  0.201308471E-02
  0.160535376E+04  0.419394783E-03  0.206402503E-02
  0.160849536E+04  0.456919632E-03  0.211658794E-02
  0.161163708E+04  0.497958623E-03  0.217074458E-02
  0.161477856E+04  0.542837020E-03  0.222644489E-02
  0.161792017E+04  0.591906952E-03  0.228361483E-02
  0.162106177E+04  0.645547989E-03  0.234214985E-02
  0.162420349E+04  0.704167993E-03  0.240191072E-02
  0.162734497E+04  0.768203347E-03  0.246271747E-02
  0.163048657E+04  0.838119129E-03  0.252434076E-02
  0.163362817E+04  0.914407370E-03  0.258649397E-02
  0.163676965E+04  0.997585594E-03  0.264882529E-02
  0.163991138E+04  0.108819245E-02  0.271090516E-02
  0.164305298E+04  0.118678377E-02  0.277221715E-02
  0.164619446E+04  0.129392406E-02  0.283214333E-02
  0.164933606E+04  0.141017698E-02  0.288995286E-02
  0.165247766E+04  0.153609202E-02  0.294478680E-02
  0.165561938E+04  0.167218701E-02  0.299564423E-02
  0.165876086E+04  0.181892700E-02  0.304136914E-02
  0.166190247E+04  0.197669445E-02  0.308063766E-02
  0.166504407E+04  0.214575813E-02  0.311194849E-02
  0.166818579E+04  0.232623285E-02  0.313361851E-02
  0.167132727E+04  0.251803035E-02  0.314378296E-02
  0.167446887E+04  0.272080698E-02  0.314040668E-02
  0.167761047E+04  0.293390453E-02  0.312130689E-02
  0.168075195E+04  0.315628550E-02  0.308419066E-02
  0.168389368E+04  0.338647119E-02  0.302671478E-02
  0.168703528E+04  0.362248346E-02  0.294656213E-02
  0.169017676E+04  0.386179541E-02  0.284154853E-02
  0.169331836E+04  0.410130760E-02  0.270975125E-02
  0.169646008E+04  0.433735130E-02  0.254965574E-02
  0.169960168E+04  0.456573116E-02  0.236032065E-02
  0.170274316E+04  0.478182314E-02  0.214154553E-02
  0.170588477E+04  0.498071965E-02  0.189402164E-02
  0.170902637E+04  0.515743997E-02  0.161945005E-02
  0.171216809E+04  0.530717662E-02  0.132060761E-02
  0.171530957E+04  0.542557472E-02  0.100133417E-02
  0.171845117E+04  0.550902216E-02  0.666435808E-03
  0.172159265E+04  0.555489771E-02  0.321499392E-03
  0.172473425E+04  0.556177041E-02 -0.273727183E-04
